325.000, 0.012	325.000, 0.017	325.000, 0.000
842.000, 0.410	842.000, 0.427	842.000, 0.326
843.000, 0.411	843.000, 0.427	843.000, 0.327
844.000, 0.412	844.000, 0.428	844.000, 0.328
845.000, 0.412	845.000, 0.429	845.000, 0.328
846.000, 0.413	846.000, 0.431	846.000, 0.327
847.000, 0.413	847.000, 0.430	847.000, 0.328
848.000, 0.413	848.000, 0.430	848.000, 0.328
849.000, 0.414	849.000, 0.431	849.000, 0.329
850.000, 0.414	850.000, 0.431	850.000, 0.329
851.000, 0.414	851.000, 0.431	851.000, 0.329
852.000, 0.414	852.000, 0.431	852.000, 0.330
853.000, 0.415	853.000, 0.432	853.000, 0.330
854.000, 0.416	854.000, 0.433	854.000, 0.330
855.000, 0.416	855.000, 0.433	855.000, 0.331
856.000, 0.417	856.000, 0.434	856.000, 0.333
857.000, 0.418	857.000, 0.435	857.000, 0.333
858.000, 0.418	858.000, 0.435	858.000, 0.333
859.000, 0.418	859.000, 0.435	859.000, 0.334
860.000, 0.419	860.000, 0.436	860.000, 0.335
861.000, 0.419	861.000, 0.436	861.000, 0.335
862.000, 0.419	862.000, 0.436	862.000, 0.335
863.000, 0.420	863.000, 0.438	863.000, 0.336
864.000, 0.421	864.000, 0.438	864.000, 0.336
865.000, 0.422	865.000, 0.438	865.000, 0.336
866.000, 0.424	866.000, 0.439	866.000, 0.337
867.000, 0.424	867.000, 0.440	867.000, 0.338
868.000, 0.423	868.000, 0.441	868.000, 0.339
869.000, 0.423	869.000, 0.441	869.000, 0.339
870.000, 0.424	870.000, 0.441	870.000, 0.339
871.000, 0.424	871.000, 0.441	871.000, 0.340
872.000, 0.425	872.000, 0.442	872.000, 0.340
873.000, 0.425	873.000, 0.442	873.000, 0.340
874.000, 0.426	874.000, 0.443	874.000, 0.340
875.000, 0.426	875.000, 0.443	875.000, 0.340
876.000, 0.425	876.000, 0.443	876.000, 0.340
877.000, 0.426	877.000, 0.443	877.000, 0.342
878.000, 0.427	878.000, 0.443	878.000, 0.342
879.000, 0.427	879.000, 0.443	879.000, 0.342
880.000, 0.427	880.000, 0.444	880.000, 0.342
881.000, 0.428	881.000, 0.445	881.000, 0.343
882.000, 0.430	882.000, 0.445	882.000, 0.344
883.000, 0.430	883.000, 0.447	883.000, 0.343
884.000, 0.431	884.000, 0.447	884.000, 0.343
885.000, 0.430	885.000, 0.446	885.000, 0.345
886.000, 0.429	886.000, 0.446	886.000, 0.346
887.000, 0.428	887.000, 0.447	887.000, 0.345
888.000, 0.430	888.000, 0.447	888.000, 0.346
889.000, 0.431	889.000, 0.447	889.000, 0.346
890.000, 0.431	890.000, 0.447	890.000, 0.345
891.000, 0.430	891.000, 0.446	891.000, 0.344
892.000, 0.430	892.000, 0.448	892.000, 0.345
893.000, 0.432	893.000, 0.451	893.000, 0.347
894.000, 0.433	894.000, 0.451	894.000, 0.348
895.000, 0.433	895.000, 0.448	895.000, 0.346
896.000, 0.432	896.000, 0.448	896.000, 0.346
897.000, 0.433	897.000, 0.449	897.000, 0.346
898.000, 0.434	898.000, 0.450	898.000, 0.347
899.000, 0.432	899.000, 0.450	899.000, 0.348
900.000, 0.431	900.000, 0.450	900.000, 0.347
901.000, 0.432	901.000, 0.449	901.000, 0.346
902.000, 0.434	902.000, 0.451	902.000, 0.348
903.000, 0.436	903.000, 0.453	903.000, 0.352
904.000, 0.437	904.000, 0.454	904.000, 0.352
905.000, 0.436	905.000, 0.453	905.000, 0.351
906.000, 0.435	906.000, 0.450	906.000, 0.349
907.000, 0.433	907.000, 0.449	907.000, 0.348
908.000, 0.432	908.000, 0.449	908.000, 0.347
909.000, 0.433	909.000, 0.451	909.000, 0.349
910.000, 0.436	910.000, 0.453	910.000, 0.352
911.000, 0.440	911.000, 0.454	911.000, 0.354
912.000, 0.441	912.000, 0.453	912.000, 0.353
913.000, 0.439	913.000, 0.453	913.000, 0.354
914.000, 0.435	914.000, 0.453	914.000, 0.354
915.000, 0.437	915.000, 0.453	915.000, 0.353
916.000, 0.439	916.000, 0.454	916.000, 0.353
917.000, 0.442	917.000, 0.458	917.000, 0.357
918.000, 0.440	918.000, 0.457	918.000, 0.355
919.000, 0.438	919.000, 0.455	919.000, 0.353
920.000, 0.438	920.000, 0.455	920.000, 0.354
921.000, 0.439	921.000, 0.456	921.000, 0.355
922.000, 0.440	922.000, 0.457	922.000, 0.356
923.000, 0.442	923.000, 0.457	923.000, 0.357
924.000, 0.442	924.000, 0.459	924.000, 0.358
925.000, 0.442	925.000, 0.460	925.000, 0.358
926.000, 0.439	926.000, 0.458	926.000, 0.353
927.000, 0.438	927.000, 0.458	927.000, 0.351
928.000, 0.440	928.000, 0.460	928.000, 0.355
929.000, 0.437	929.000, 0.456	929.000, 0.353
930.000, 0.433	930.000, 0.451	930.000, 0.349
931.000, 0.435	931.000, 0.456	931.000, 0.348
932.000, 0.436	932.000, 0.460	932.000, 0.352
933.000, 0.434	933.000, 0.459	933.000, 0.355
934.000, 0.426	934.000, 0.452	934.000, 0.344
935.000, 0.429	935.000, 0.447	935.000, 0.343
936.000, 0.440	936.000, 0.448	936.000, 0.353
937.000, 0.433	937.000, 0.441	937.000, 0.346
938.000, 0.429	938.000, 0.442	938.000, 0.343
939.000, 0.440	939.000, 0.457	939.000, 0.354
940.000, 0.446	940.000, 0.459	940.000, 0.359
941.000, 0.444	941.000, 0.455	941.000, 0.358
942.000, 0.434	942.000, 0.458	942.000, 0.357
943.000, 0.431	943.000, 0.458	943.000, 0.358
944.000, 0.434	944.000, 0.452	944.000, 0.358
945.000, 0.427	945.000, 0.448	945.000, 0.349
946.000, 0.427	946.000, 0.447	946.000, 0.345
947.000, 0.439	947.000, 0.450	947.000, 0.349
948.000, 0.441	948.000, 0.452	948.000, 0.351
949.000, 0.439	949.000, 0.452	949.000, 0.353
950.000, 0.440	950.000, 0.449	950.000, 0.357
951.000, 0.437	951.000, 0.448	951.000, 0.351
952.000, 0.433	952.000, 0.450	952.000, 0.342
953.000, 0.434	953.000, 0.456	953.000, 0.350
954.000, 0.435	954.000, 0.454	954.000, 0.353
955.000, 0.437	955.000, 0.443	955.000, 0.348
956.000, 0.437	956.000, 0.442	956.000, 0.349
957.000, 0.437	957.000, 0.447	957.000, 0.352
958.000, 0.437	958.000, 0.453	958.000, 0.354
959.000, 0.439	959.000, 0.456	959.000, 0.358
960.000, 0.440	960.000, 0.457	960.000, 0.362
961.000, 0.438	961.000, 0.461	961.000, 0.360
962.000, 0.437	962.000, 0.458	962.000, 0.360
963.000, 0.438	963.000, 0.449	963.000, 0.361
964.000, 0.438	964.000, 0.448	964.000, 0.358
965.000, 0.435	965.000, 0.447	965.000, 0.353
966.000, 0.431	966.000, 0.446	966.000, 0.350
967.000, 0.436	967.000, 0.447	967.000, 0.345
968.000, 0.443	968.000, 0.451	968.000, 0.346
969.000, 0.446	969.000, 0.458	969.000, 0.358
970.000, 0.448	970.000, 0.462	970.000, 0.362
971.000, 0.446	971.000, 0.462	971.000, 0.359
972.000, 0.434	972.000, 0.457	972.000, 0.356
973.000, 0.430	973.000, 0.450	973.000, 0.351
974.000, 0.436	974.000, 0.445	974.000, 0.346
975.000, 0.436	975.000, 0.450	975.000, 0.348
976.000, 0.439	976.000, 0.457	976.000, 0.353
977.000, 0.445	977.000, 0.460	977.000, 0.358
978.000, 0.445	978.000, 0.460	978.000, 0.356
979.000, 0.443	979.000, 0.461	979.000, 0.351
980.000, 0.448	980.000, 0.468	980.000, 0.353
981.000, 0.452	981.000, 0.470	981.000, 0.362
982.000, 0.450	982.000, 0.464	982.000, 0.369
983.000, 0.438	983.000, 0.455	983.000, 0.355
984.000, 0.432	984.000, 0.451	984.000, 0.346
985.000, 0.437	985.000, 0.454	985.000, 0.349
986.000, 0.442	986.000, 0.456	986.000, 0.355
987.000, 0.444	987.000, 0.455	987.000, 0.360
988.000, 0.444	988.000, 0.453	988.000, 0.361
989.000, 0.447	989.000, 0.455	989.000, 0.365
990.000, 0.450	990.000, 0.459	990.000, 0.366
991.000, 0.445	991.000, 0.454	991.000, 0.356
992.000, 0.445	992.000, 0.454	992.000, 0.351
993.000, 0.450	993.000, 0.458	993.000, 0.354
994.000, 0.454	994.000, 0.464	994.000, 0.364
995.000, 0.451	995.000, 0.464	995.000, 0.366
996.000, 0.441	996.000, 0.456	996.000, 0.356
997.000, 0.441	997.000, 0.455	997.000, 0.361
998.000, 0.446	998.000, 0.459	998.000, 0.369
999.000, 0.443	999.000, 0.463	999.000, 0.367
1000.000, 0.444	1000.000, 0.467	1000.000, 0.370
1001.000, 0.448	1001.000, 0.471	1001.000, 0.378
1002.000, 0.445	1002.000, 0.478	1002.000, 0.379
1003.000, 0.445	1003.000, 0.476	1003.000, 0.372
1004.000, 0.449	1004.000, 0.467	1004.000, 0.359
1005.000, 0.444	1005.000, 0.465	1005.000, 0.354
1006.000, 0.444	1006.000, 0.470	1006.000, 0.356
1007.000, 0.463	1007.000, 0.480	1007.000, 0.365
1008.000, 0.470	1008.000, 0.477	1008.000, 0.371
1009.000, 0.465	1009.000, 0.466	1009.000, 0.370
1010.000, 0.450	1010.000, 0.462	1010.000, 0.362
1011.000, 0.442	1011.000, 0.461	1011.000, 0.361
1012.000, 0.445	1012.000, 0.461	1012.000, 0.367
1013.000, 0.441	1013.000, 0.463	1013.000, 0.364
1014.000, 0.444	1014.000, 0.468	1014.000, 0.363
1015.000, 0.458	1015.000, 0.474	1015.000, 0.369
1016.000, 0.449	1016.000, 0.470	1016.000, 0.368
1017.000, 0.440	1017.000, 0.464	1017.000, 0.364
1018.000, 0.454	1018.000, 0.467	1018.000, 0.359
1019.000, 0.459	1019.000, 0.476	1019.000, 0.364
1020.000, 0.455	1020.000, 0.484	1020.000, 0.373
1021.000, 0.457	1021.000, 0.474	1021.000, 0.368
1022.000, 0.459	1022.000, 0.469	1022.000, 0.366
1023.000, 0.459	1023.000, 0.474	1023.000, 0.370
1024.000, 0.467	1024.000, 0.476	1024.000, 0.365
1025.000, 0.467	1025.000, 0.481	1025.000, 0.361
1026.000, 0.449	1026.000, 0.490	1026.000, 0.367
1027.000, 0.447	1027.000, 0.489	1027.000, 0.368
1028.000, 0.453	1028.000, 0.477	1028.000, 0.362
1029.000, 0.447	1029.000, 0.455	1029.000, 0.346
1030.000, 0.455	1030.000, 0.458	1030.000, 0.358
1031.000, 0.476	1031.000, 0.483	1031.000, 0.390
1032.000, 0.475	1032.000, 0.494	1032.000, 0.395
1033.000, 0.465	1033.000, 0.499	1033.000, 0.381
1034.000, 0.453	1034.000, 0.499	1034.000, 0.360
1035.000, 0.453	1035.000, 0.490	1035.000, 0.366
1036.000, 0.460	1036.000, 0.481	1036.000, 0.378
1037.000, 0.468	1037.000, 0.483	1037.000, 0.372
1038.000, 0.485	1038.000, 0.491	1038.000, 0.380
1039.000, 0.499	1039.000, 0.501	1039.000, 0.397
1040.000, 0.479	1040.000, 0.502	1040.000, 0.393
1041.000, 0.468	1041.000, 0.500	1041.000, 0.381
1042.000, 0.473	1042.000, 0.495	1042.000, 0.369
1043.000, 0.454	1043.000, 0.491	1043.000, 0.368
1044.000, 0.438	1044.000, 0.496	1044.000, 0.377
1045.000, 0.449	1045.000, 0.512	1045.000, 0.391
1046.000, 0.465	1046.000, 0.508	1046.000, 0.390
1047.000, 0.478	1047.000, 0.495	1047.000, 0.380
1048.000, 0.479	1048.000, 0.500	1048.000, 0.378
1049.000, 0.480	1049.000, 0.500	1049.000, 0.373
1050.000, 0.480	1050.000, 0.497	1050.000, 0.366
1051.000, 0.474	1051.000, 0.522	1051.000, 0.376
1052.000, 0.466	1052.000, 0.538	1052.000, 0.383
1053.000, 0.463	1053.000, 0.527	1053.000, 0.378
1054.000, 0.483	1054.000, 0.496	1054.000, 0.391
1055.000, 0.497	1055.000, 0.472	1055.000, 0.394
1056.000, 0.477	1056.000, 0.483	1056.000, 0.361
1057.000, 0.457	1057.000, 0.482	1057.000, 0.345
1058.000, 0.449	1058.000, 0.477	1058.000, 0.349
1059.000, 0.476	1059.000, 0.505	1059.000, 0.367
1060.000, 0.489	1060.000, 0.523	1060.000, 0.381
1061.000, 0.479	1061.000, 0.524	1061.000, 0.384
1062.000, 0.477	1062.000, 0.539	1062.000, 0.381
1063.000, 0.479	1063.000, 0.546	1063.000, 0.383
1064.000, 0.479	1064.000, 0.526	1064.000, 0.393
1065.000, 0.464	1065.000, 0.485	1065.000, 0.348
1066.000, 0.453	1066.000, 0.449	1066.000, 0.297
1067.000, 0.486	1067.000, 0.467	1067.000, 0.335
1068.000, 0.483	1068.000, 0.475	1068.000, 0.358
1069.000, 0.446	1069.000, 0.462	1069.000, 0.349
1070.000, 0.443	1070.000, 0.470	1070.000, 0.364
1071.000, 0.465	1071.000, 0.478	1071.000, 0.373
1072.000, 0.498	1072.000, 0.479	1072.000, 0.365
1073.000, 0.498	1073.000, 0.501	1073.000, 0.361
1074.000, 0.450	1074.000, 0.500	1074.000, 0.359
1075.000, 0.356	1075.000, 0.430	1075.000, 0.351
