325.000, 0.031	325.000, 0.026	325.000, 0.032	325.000, 0.058	325.000, 0.039	325.000, 0.036
583.000, 0.148	583.000, 0.178	583.000, 0.188	583.000, 0.138	583.000, 0.132	583.000, 0.130
584.000, 0.149	584.000, 0.178	584.000, 0.189	584.000, 0.138	584.000, 0.132	584.000, 0.130
585.000, 0.149	585.000, 0.179	585.000, 0.190	585.000, 0.138	585.000, 0.132	585.000, 0.130
586.000, 0.150	586.000, 0.180	586.000, 0.191	586.000, 0.138	586.000, 0.133	586.000, 0.130
587.000, 0.151	587.000, 0.180	587.000, 0.191	587.000, 0.138	587.000, 0.133	587.000, 0.130
588.000, 0.151	588.000, 0.180	588.000, 0.191	588.000, 0.138	588.000, 0.133	588.000, 0.130
589.000, 0.152	589.000, 0.180	589.000, 0.192	589.000, 0.139	589.000, 0.134	589.000, 0.131
590.000, 0.152	590.000, 0.181	590.000, 0.193	590.000, 0.139	590.000, 0.134	590.000, 0.131
591.000, 0.153	591.000, 0.181	591.000, 0.193	591.000, 0.139	591.000, 0.135	591.000, 0.131
592.000, 0.153	592.000, 0.181	592.000, 0.193	592.000, 0.139	592.000, 0.135	592.000, 0.131
593.000, 0.154	593.000, 0.182	593.000, 0.194	593.000, 0.139	593.000, 0.135	593.000, 0.132
594.000, 0.155	594.000, 0.183	594.000, 0.195	594.000, 0.140	594.000, 0.135	594.000, 0.132
595.000, 0.156	595.000, 0.184	595.000, 0.196	595.000, 0.140	595.000, 0.136	595.000, 0.132
596.000, 0.156	596.000, 0.185	596.000, 0.197	596.000, 0.140	596.000, 0.136	596.000, 0.132
597.000, 0.156	597.000, 0.186	597.000, 0.198	597.000, 0.140	597.000, 0.136	597.000, 0.133
598.000, 0.157	598.000, 0.188	598.000, 0.199	598.000, 0.140	598.000, 0.136	598.000, 0.133
599.000, 0.158	599.000, 0.189	599.000, 0.201	599.000, 0.140	599.000, 0.136	599.000, 0.133
600.000, 0.159	600.000, 0.191	600.000, 0.202	600.000, 0.141	600.000, 0.137	600.000, 0.134
601.000, 0.160	601.000, 0.193	601.000, 0.204	601.000, 0.142	601.000, 0.137	601.000, 0.134
602.000, 0.161	602.000, 0.194	602.000, 0.205	602.000, 0.142	602.000, 0.138	602.000, 0.134
603.000, 0.162	603.000, 0.195	603.000, 0.206	603.000, 0.142	603.000, 0.138	603.000, 0.135
604.000, 0.163	604.000, 0.196	604.000, 0.207	604.000, 0.143	604.000, 0.139	604.000, 0.135
605.000, 0.163	605.000, 0.197	605.000, 0.208	605.000, 0.143	605.000, 0.139	605.000, 0.135
606.000, 0.164	606.000, 0.197	606.000, 0.209	606.000, 0.143	606.000, 0.139	606.000, 0.136
607.000, 0.165	607.000, 0.198	607.000, 0.209	607.000, 0.143	607.000, 0.139	607.000, 0.136
608.000, 0.166	608.000, 0.198	608.000, 0.210	608.000, 0.143	608.000, 0.139	608.000, 0.136
609.000, 0.166	609.000, 0.199	609.000, 0.211	609.000, 0.143	609.000, 0.139	609.000, 0.137
610.000, 0.167	610.000, 0.200	610.000, 0.212	610.000, 0.144	610.000, 0.140	610.000, 0.137
611.000, 0.168	611.000, 0.201	611.000, 0.213	611.000, 0.144	611.000, 0.140	611.000, 0.137
612.000, 0.169	612.000, 0.201	612.000, 0.214	612.000, 0.144	612.000, 0.141	612.000, 0.137
613.000, 0.169	613.000, 0.202	613.000, 0.215	613.000, 0.144	613.000, 0.141	613.000, 0.138
614.000, 0.170	614.000, 0.203	614.000, 0.215	614.000, 0.144	614.000, 0.141	614.000, 0.138
615.000, 0.171	615.000, 0.204	615.000, 0.216	615.000, 0.144	615.000, 0.141	615.000, 0.138
616.000, 0.172	616.000, 0.204	616.000, 0.217	616.000, 0.144	616.000, 0.141	616.000, 0.138
617.000, 0.172	617.000, 0.205	617.000, 0.218	617.000, 0.144	617.000, 0.141	617.000, 0.139
618.000, 0.173	618.000, 0.206	618.000, 0.219	618.000, 0.145	618.000, 0.142	618.000, 0.139
619.000, 0.174	619.000, 0.207	619.000, 0.220	619.000, 0.145	619.000, 0.142	619.000, 0.139
620.000, 0.175	620.000, 0.208	620.000, 0.221	620.000, 0.145	620.000, 0.142	620.000, 0.139
621.000, 0.175	621.000, 0.209	621.000, 0.222	621.000, 0.145	621.000, 0.143	621.000, 0.139
622.000, 0.176	622.000, 0.210	622.000, 0.223	622.000, 0.145	622.000, 0.143	622.000, 0.139
623.000, 0.177	623.000, 0.211	623.000, 0.224	623.000, 0.145	623.000, 0.143	623.000, 0.140
624.000, 0.178	624.000, 0.212	624.000, 0.225	624.000, 0.145	624.000, 0.144	624.000, 0.140
625.000, 0.179	625.000, 0.213	625.000, 0.226	625.000, 0.146	625.000, 0.144	625.000, 0.141
626.000, 0.179	626.000, 0.213	626.000, 0.227	626.000, 0.146	626.000, 0.145	626.000, 0.141
627.000, 0.180	627.000, 0.214	627.000, 0.228	627.000, 0.147	627.000, 0.145	627.000, 0.141
628.000, 0.181	628.000, 0.215	628.000, 0.229	628.000, 0.147	628.000, 0.145	628.000, 0.141
629.000, 0.182	629.000, 0.217	629.000, 0.230	629.000, 0.147	629.000, 0.146	629.000, 0.142
630.000, 0.183	630.000, 0.217	630.000, 0.231	630.000, 0.148	630.000, 0.146	630.000, 0.142
631.000, 0.184	631.000, 0.218	631.000, 0.232	631.000, 0.148	631.000, 0.146	631.000, 0.143
632.000, 0.185	632.000, 0.219	632.000, 0.233	632.000, 0.148	632.000, 0.147	632.000, 0.143
633.000, 0.186	633.000, 0.220	633.000, 0.234	633.000, 0.149	633.000, 0.147	633.000, 0.144
634.000, 0.186	634.000, 0.221	634.000, 0.235	634.000, 0.149	634.000, 0.147	634.000, 0.144
635.000, 0.187	635.000, 0.222	635.000, 0.236	635.000, 0.149	635.000, 0.148	635.000, 0.144
636.000, 0.188	636.000, 0.223	636.000, 0.237	636.000, 0.149	636.000, 0.148	636.000, 0.144
637.000, 0.189	637.000, 0.224	637.000, 0.238	637.000, 0.149	637.000, 0.148	637.000, 0.145
638.000, 0.189	638.000, 0.225	638.000, 0.239	638.000, 0.150	638.000, 0.148	638.000, 0.145
639.000, 0.191	639.000, 0.226	639.000, 0.240	639.000, 0.150	639.000, 0.149	639.000, 0.145
640.000, 0.192	640.000, 0.228	640.000, 0.242	640.000, 0.150	640.000, 0.149	640.000, 0.146
641.000, 0.192	641.000, 0.229	641.000, 0.243	641.000, 0.150	641.000, 0.149	641.000, 0.146
642.000, 0.193	642.000, 0.229	642.000, 0.243	642.000, 0.150	642.000, 0.149	642.000, 0.145
643.000, 0.193	643.000, 0.230	643.000, 0.244	643.000, 0.149	643.000, 0.149	643.000, 0.145
644.000, 0.195	644.000, 0.231	644.000, 0.245	644.000, 0.149	644.000, 0.149	644.000, 0.145
645.000, 0.196	645.000, 0.233	645.000, 0.247	645.000, 0.150	645.000, 0.149	645.000, 0.146
646.000, 0.196	646.000, 0.233	646.000, 0.248	646.000, 0.149	646.000, 0.149	646.000, 0.146
647.000, 0.197	647.000, 0.234	647.000, 0.248	647.000, 0.149	647.000, 0.149	647.000, 0.145
648.000, 0.198	648.000, 0.235	648.000, 0.249	648.000, 0.149	648.000, 0.149	648.000, 0.146
649.000, 0.199	649.000, 0.236	649.000, 0.250	649.000, 0.149	649.000, 0.149	649.000, 0.146
650.000, 0.200	650.000, 0.237	650.000, 0.251	650.000, 0.149	650.000, 0.150	650.000, 0.146
651.000, 0.200	651.000, 0.238	651.000, 0.253	651.000, 0.149	651.000, 0.150	651.000, 0.146
652.000, 0.201	652.000, 0.239	652.000, 0.254	652.000, 0.150	652.000, 0.150	652.000, 0.147
653.000, 0.202	653.000, 0.240	653.000, 0.255	653.000, 0.150	653.000, 0.150	653.000, 0.147
654.000, 0.202	654.000, 0.240	654.000, 0.255	654.000, 0.150	654.000, 0.150	654.000, 0.147
655.000, 0.203	655.000, 0.241	655.000, 0.257	655.000, 0.150	655.000, 0.151	655.000, 0.147
656.000, 0.205	656.000, 0.243	656.000, 0.258	656.000, 0.150	656.000, 0.151	656.000, 0.148
657.000, 0.206	657.000, 0.244	657.000, 0.259	657.000, 0.150	657.000, 0.151	657.000, 0.148
658.000, 0.206	658.000, 0.244	658.000, 0.259	658.000, 0.150	658.000, 0.151	658.000, 0.148
659.000, 0.207	659.000, 0.245	659.000, 0.261	659.000, 0.150	659.000, 0.151	659.000, 0.148
660.000, 0.207	660.000, 0.246	660.000, 0.261	660.000, 0.150	660.000, 0.151	660.000, 0.148
661.000, 0.208	661.000, 0.247	661.000, 0.262	661.000, 0.149	661.000, 0.151	661.000, 0.147
662.000, 0.209	662.000, 0.248	662.000, 0.263	662.000, 0.149	662.000, 0.151	662.000, 0.147
663.000, 0.210	663.000, 0.249	663.000, 0.264	663.000, 0.149	663.000, 0.151	663.000, 0.147
664.000, 0.210	664.000, 0.250	664.000, 0.265	664.000, 0.149	664.000, 0.152	664.000, 0.148
665.000, 0.211	665.000, 0.251	665.000, 0.266	665.000, 0.149	665.000, 0.152	665.000, 0.148
666.000, 0.212	666.000, 0.252	666.000, 0.267	666.000, 0.149	666.000, 0.152	666.000, 0.148
667.000, 0.213	667.000, 0.252	667.000, 0.268	667.000, 0.149	667.000, 0.152	667.000, 0.148
668.000, 0.214	668.000, 0.254	668.000, 0.269	668.000, 0.149	668.000, 0.152	668.000, 0.148
669.000, 0.215	669.000, 0.255	669.000, 0.270	669.000, 0.149	669.000, 0.152	669.000, 0.149
670.000, 0.215	670.000, 0.255	670.000, 0.271	670.000, 0.149	670.000, 0.152	670.000, 0.148
671.000, 0.216	671.000, 0.256	671.000, 0.272	671.000, 0.149	671.000, 0.153	671.000, 0.149
672.000, 0.217	672.000, 0.257	672.000, 0.274	672.000, 0.150	672.000, 0.154	672.000, 0.150
673.000, 0.218	673.000, 0.258	673.000, 0.275	673.000, 0.150	673.000, 0.154	673.000, 0.150
674.000, 0.219	674.000, 0.259	674.000, 0.276	674.000, 0.150	674.000, 0.154	674.000, 0.150
675.000, 0.220	675.000, 0.260	675.000, 0.277	675.000, 0.151	675.000, 0.155	675.000, 0.151
676.000, 0.221	676.000, 0.261	676.000, 0.278	676.000, 0.151	676.000, 0.155	676.000, 0.151
677.000, 0.221	677.000, 0.262	677.000, 0.279	677.000, 0.151	677.000, 0.155	677.000, 0.151
678.000, 0.222	678.000, 0.264	678.000, 0.280	678.000, 0.152	678.000, 0.156	678.000, 0.152
679.000, 0.223	679.000, 0.265	679.000, 0.281	679.000, 0.152	679.000, 0.156	679.000, 0.152
680.000, 0.224	680.000, 0.265	680.000, 0.282	680.000, 0.153	680.000, 0.157	680.000, 0.153
681.000, 0.225	681.000, 0.266	681.000, 0.283	681.000, 0.153	681.000, 0.157	681.000, 0.153
682.000, 0.226	682.000, 0.267	682.000, 0.284	682.000, 0.154	682.000, 0.158	682.000, 0.154
683.000, 0.227	683.000, 0.269	683.000, 0.286	683.000, 0.154	683.000, 0.159	683.000, 0.155
684.000, 0.228	684.000, 0.269	684.000, 0.286	684.000, 0.156	684.000, 0.160	684.000, 0.156
685.000, 0.229	685.000, 0.270	685.000, 0.287	685.000, 0.157	685.000, 0.161	685.000, 0.157
686.000, 0.229	686.000, 0.271	686.000, 0.288	686.000, 0.158	686.000, 0.162	686.000, 0.158
687.000, 0.230	687.000, 0.273	687.000, 0.290	687.000, 0.160	687.000, 0.164	687.000, 0.160
688.000, 0.231	688.000, 0.274	688.000, 0.292	688.000, 0.163	688.000, 0.166	688.000, 0.162
689.000, 0.233	689.000, 0.276	689.000, 0.293	689.000, 0.165	689.000, 0.169	689.000, 0.164
690.000, 0.234	690.000, 0.277	690.000, 0.294	690.000, 0.167	690.000, 0.171	690.000, 0.166
691.000, 0.234	691.000, 0.278	691.000, 0.295	691.000, 0.169	691.000, 0.172	691.000, 0.169
692.000, 0.236	692.000, 0.279	692.000, 0.296	692.000, 0.172	692.000, 0.175	692.000, 0.171
693.000, 0.237	693.000, 0.280	693.000, 0.298	693.000, 0.175	693.000, 0.178	693.000, 0.174
694.000, 0.238	694.000, 0.282	694.000, 0.300	694.000, 0.178	694.000, 0.180	694.000, 0.177
695.000, 0.239	695.000, 0.283	695.000, 0.301	695.000, 0.181	695.000, 0.183	695.000, 0.179
696.000, 0.240	696.000, 0.284	696.000, 0.302	696.000, 0.185	696.000, 0.186	696.000, 0.182
697.000, 0.241	697.000, 0.285	697.000, 0.303	697.000, 0.188	697.000, 0.189	697.000, 0.185
698.000, 0.242	698.000, 0.286	698.000, 0.304	698.000, 0.191	698.000, 0.192	698.000, 0.189
699.000, 0.242	699.000, 0.287	699.000, 0.305	699.000, 0.195	699.000, 0.195	699.000, 0.192
700.000, 0.243	700.000, 0.288	700.000, 0.306	700.000, 0.198	700.000, 0.199	700.000, 0.195
701.000, 0.245	701.000, 0.289	701.000, 0.308	701.000, 0.202	701.000, 0.202	701.000, 0.199
702.000, 0.246	702.000, 0.291	702.000, 0.309	702.000, 0.206	702.000, 0.205	702.000, 0.202
703.000, 0.247	703.000, 0.292	703.000, 0.310	703.000, 0.209	703.000, 0.208	703.000, 0.205
704.000, 0.248	704.000, 0.293	704.000, 0.311	704.000, 0.212	704.000, 0.211	704.000, 0.208
705.000, 0.248	705.000, 0.294	705.000, 0.312	705.000, 0.215	705.000, 0.214	705.000, 0.210
706.000, 0.249	706.000, 0.295	706.000, 0.313	706.000, 0.218	706.000, 0.217	706.000, 0.214
707.000, 0.250	707.000, 0.296	707.000, 0.314	707.000, 0.221	707.000, 0.220	707.000, 0.217
708.000, 0.252	708.000, 0.297	708.000, 0.315	708.000, 0.225	708.000, 0.223	708.000, 0.220
709.000, 0.252	709.000, 0.298	709.000, 0.316	709.000, 0.228	709.000, 0.226	709.000, 0.223
710.000, 0.253	710.000, 0.299	710.000, 0.317	710.000, 0.231	710.000, 0.229	710.000, 0.226
711.000, 0.254	711.000, 0.300	711.000, 0.318	711.000, 0.234	711.000, 0.232	711.000, 0.228
712.000, 0.255	712.000, 0.301	712.000, 0.319	712.000, 0.237	712.000, 0.235	712.000, 0.232
713.000, 0.256	713.000, 0.302	713.000, 0.321	713.000, 0.240	713.000, 0.238	713.000, 0.235
714.000, 0.257	714.000, 0.303	714.000, 0.321	714.000, 0.242	714.000, 0.240	714.000, 0.237
715.000, 0.258	715.000, 0.303	715.000, 0.322	715.000, 0.244	715.000, 0.243	715.000, 0.240
716.000, 0.259	716.000, 0.304	716.000, 0.323	716.000, 0.247	716.000, 0.246	716.000, 0.243
717.000, 0.260	717.000, 0.305	717.000, 0.324	717.000, 0.251	717.000, 0.249	717.000, 0.246
718.000, 0.261	718.000, 0.307	718.000, 0.326	718.000, 0.254	718.000, 0.252	718.000, 0.249
719.000, 0.262	719.000, 0.308	719.000, 0.327	719.000, 0.257	719.000, 0.256	719.000, 0.252
720.000, 0.263	720.000, 0.309	720.000, 0.328	720.000, 0.260	720.000, 0.259	720.000, 0.256
721.000, 0.264	721.000, 0.310	721.000, 0.329	721.000, 0.264	721.000, 0.262	721.000, 0.258
722.000, 0.264	722.000, 0.311	722.000, 0.330	722.000, 0.266	722.000, 0.264	722.000, 0.261
723.000, 0.265	723.000, 0.312	723.000, 0.331	723.000, 0.268	723.000, 0.267	723.000, 0.264
724.000, 0.266	724.000, 0.313	724.000, 0.332	724.000, 0.271	724.000, 0.269	724.000, 0.267
725.000, 0.268	725.000, 0.314	725.000, 0.333	725.000, 0.274	725.000, 0.273	725.000, 0.270
726.000, 0.269	726.000, 0.315	726.000, 0.334	726.000, 0.277	726.000, 0.276	726.000, 0.273
727.000, 0.269	727.000, 0.316	727.000, 0.335	727.000, 0.279	727.000, 0.278	727.000, 0.275
728.000, 0.270	728.000, 0.316	728.000, 0.336	728.000, 0.282	728.000, 0.280	728.000, 0.277
729.000, 0.271	729.000, 0.317	729.000, 0.337	729.000, 0.284	729.000, 0.283	729.000, 0.280
730.000, 0.272	730.000, 0.319	730.000, 0.338	730.000, 0.287	730.000, 0.286	730.000, 0.283
731.000, 0.274	731.000, 0.321	731.000, 0.340	731.000, 0.290	731.000, 0.289	731.000, 0.286
732.000, 0.274	732.000, 0.321	732.000, 0.340	732.000, 0.292	732.000, 0.291	732.000, 0.288
733.000, 0.275	733.000, 0.322	733.000, 0.341	733.000, 0.294	733.000, 0.293	733.000, 0.290
734.000, 0.276	734.000, 0.323	734.000, 0.342	734.000, 0.296	734.000, 0.295	734.000, 0.292
735.000, 0.277	735.000, 0.324	735.000, 0.343	735.000, 0.298	735.000, 0.297	735.000, 0.294
736.000, 0.278	736.000, 0.325	736.000, 0.344	736.000, 0.300	736.000, 0.299	736.000, 0.297
737.000, 0.279	737.000, 0.326	737.000, 0.346	737.000, 0.302	737.000, 0.301	737.000, 0.299
738.000, 0.280	738.000, 0.327	738.000, 0.347	738.000, 0.304	738.000, 0.303	738.000, 0.301
739.000, 0.280	739.000, 0.328	739.000, 0.347	739.000, 0.305	739.000, 0.305	739.000, 0.303
740.000, 0.281	740.000, 0.329	740.000, 0.348	740.000, 0.307	740.000, 0.307	740.000, 0.305
741.000, 0.282	741.000, 0.330	741.000, 0.349	741.000, 0.308	741.000, 0.308	741.000, 0.306
742.000, 0.283	742.000, 0.331	742.000, 0.350	742.000, 0.310	742.000, 0.310	742.000, 0.307
743.000, 0.285	743.000, 0.332	743.000, 0.351	743.000, 0.311	743.000, 0.312	743.000, 0.309
744.000, 0.285	744.000, 0.333	744.000, 0.353	744.000, 0.313	744.000, 0.313	744.000, 0.310
745.000, 0.286	745.000, 0.334	745.000, 0.354	745.000, 0.314	745.000, 0.314	745.000, 0.312
746.000, 0.287	746.000, 0.336	746.000, 0.355	746.000, 0.315	746.000, 0.316	746.000, 0.313
747.000, 0.288	747.000, 0.337	747.000, 0.356	747.000, 0.316	747.000, 0.317	747.000, 0.315
748.000, 0.289	748.000, 0.337	748.000, 0.357	748.000, 0.317	748.000, 0.318	748.000, 0.316
749.000, 0.289	749.000, 0.338	749.000, 0.358	749.000, 0.318	749.000, 0.319	749.000, 0.316
750.000, 0.290	750.000, 0.339	750.000, 0.359	750.000, 0.319	750.000, 0.320	750.000, 0.317
751.000, 0.292	751.000, 0.340	751.000, 0.360	751.000, 0.320	751.000, 0.321	751.000, 0.319
752.000, 0.292	752.000, 0.341	752.000, 0.361	752.000, 0.321	752.000, 0.322	752.000, 0.320
753.000, 0.293	753.000, 0.342	753.000, 0.363	753.000, 0.322	753.000, 0.323	753.000, 0.321
754.000, 0.294	754.000, 0.343	754.000, 0.364	754.000, 0.323	754.000, 0.324	754.000, 0.321
755.000, 0.295	755.000, 0.344	755.000, 0.365	755.000, 0.323	755.000, 0.325	755.000, 0.322
756.000, 0.296	756.000, 0.345	756.000, 0.366	756.000, 0.324	756.000, 0.326	756.000, 0.323
757.000, 0.296	757.000, 0.346	757.000, 0.366	757.000, 0.323	757.000, 0.325	757.000, 0.322
758.000, 0.296	758.000, 0.346	758.000, 0.366	758.000, 0.324	758.000, 0.325	758.000, 0.323
759.000, 0.296	759.000, 0.345	759.000, 0.366	759.000, 0.324	759.000, 0.325	759.000, 0.324
760.000, 0.298	760.000, 0.345	760.000, 0.367	760.000, 0.324	760.000, 0.328	760.000, 0.324
761.000, 0.300	761.000, 0.347	761.000, 0.368	761.000, 0.325	761.000, 0.329	761.000, 0.326
762.000, 0.301	762.000, 0.349	762.000, 0.370	762.000, 0.326	762.000, 0.330	762.000, 0.327
763.000, 0.303	763.000, 0.351	763.000, 0.372	763.000, 0.328	763.000, 0.331	763.000, 0.328
764.000, 0.303	764.000, 0.353	764.000, 0.374	764.000, 0.329	764.000, 0.332	764.000, 0.330
765.000, 0.304	765.000, 0.355	765.000, 0.375	765.000, 0.330	765.000, 0.332	765.000, 0.330
766.000, 0.305	766.000, 0.356	766.000, 0.377	766.000, 0.331	766.000, 0.334	766.000, 0.331
767.000, 0.306	767.000, 0.357	767.000, 0.378	767.000, 0.332	767.000, 0.335	767.000, 0.332
768.000, 0.307	768.000, 0.358	768.000, 0.379	768.000, 0.332	768.000, 0.335	768.000, 0.332
769.000, 0.308	769.000, 0.359	769.000, 0.380	769.000, 0.333	769.000, 0.336	769.000, 0.334
770.000, 0.309	770.000, 0.360	770.000, 0.381	770.000, 0.334	770.000, 0.336	770.000, 0.335
771.000, 0.310	771.000, 0.361	771.000, 0.382	771.000, 0.334	771.000, 0.337	771.000, 0.335
772.000, 0.311	772.000, 0.362	772.000, 0.383	772.000, 0.335	772.000, 0.338	772.000, 0.336
773.000, 0.312	773.000, 0.363	773.000, 0.385	773.000, 0.336	773.000, 0.339	773.000, 0.337
774.000, 0.313	774.000, 0.364	774.000, 0.386	774.000, 0.337	774.000, 0.339	774.000, 0.337
775.000, 0.313	775.000, 0.365	775.000, 0.386	775.000, 0.337	775.000, 0.340	775.000, 0.337
776.000, 0.314	776.000, 0.366	776.000, 0.388	776.000, 0.337	776.000, 0.341	776.000, 0.338
777.000, 0.315	777.000, 0.368	777.000, 0.389	777.000, 0.338	777.000, 0.342	777.000, 0.339
778.000, 0.316	778.000, 0.369	778.000, 0.390	778.000, 0.339	778.000, 0.343	778.000, 0.340
779.000, 0.317	779.000, 0.370	779.000, 0.391	779.000, 0.340	779.000, 0.344	779.000, 0.341
780.000, 0.318	780.000, 0.371	780.000, 0.392	780.000, 0.340	780.000, 0.344	780.000, 0.341
781.000, 0.319	781.000, 0.372	781.000, 0.394	781.000, 0.340	781.000, 0.344	781.000, 0.341
782.000, 0.319	782.000, 0.372	782.000, 0.394	782.000, 0.341	782.000, 0.345	782.000, 0.342
783.000, 0.320	783.000, 0.374	783.000, 0.395	783.000, 0.342	783.000, 0.346	783.000, 0.343
784.000, 0.322	784.000, 0.375	784.000, 0.397	784.000, 0.343	784.000, 0.346	784.000, 0.344
785.000, 0.323	785.000, 0.376	785.000, 0.398	785.000, 0.343	785.000, 0.347	785.000, 0.345
786.000, 0.323	786.000, 0.377	786.000, 0.399	786.000, 0.343	786.000, 0.348	786.000, 0.345
787.000, 0.324	787.000, 0.378	787.000, 0.400	787.000, 0.343	787.000, 0.348	787.000, 0.346
788.000, 0.325	788.000, 0.379	788.000, 0.402	788.000, 0.344	788.000, 0.349	788.000, 0.346
789.000, 0.326	789.000, 0.381	789.000, 0.402	789.000, 0.345	789.000, 0.350	789.000, 0.347
790.000, 0.327	790.000, 0.382	790.000, 0.403	790.000, 0.346	790.000, 0.350	790.000, 0.348
791.000, 0.328	791.000, 0.383	791.000, 0.405	791.000, 0.347	791.000, 0.351	791.000, 0.349
792.000, 0.329	792.000, 0.384	792.000, 0.406	792.000, 0.347	792.000, 0.352	792.000, 0.349
793.000, 0.329	793.000, 0.385	793.000, 0.407	793.000, 0.348	793.000, 0.353	793.000, 0.350
794.000, 0.330	794.000, 0.385	794.000, 0.407	794.000, 0.348	794.000, 0.353	794.000, 0.350
795.000, 0.332	795.000, 0.387	795.000, 0.408	795.000, 0.348	795.000, 0.353	795.000, 0.351
796.000, 0.332	796.000, 0.387	796.000, 0.409	796.000, 0.349	796.000, 0.354	796.000, 0.351
797.000, 0.333	797.000, 0.388	797.000, 0.410	797.000, 0.349	797.000, 0.354	797.000, 0.352
798.000, 0.334	798.000, 0.389	798.000, 0.412	798.000, 0.350	798.000, 0.355	798.000, 0.353
799.000, 0.335	799.000, 0.391	799.000, 0.414	799.000, 0.351	799.000, 0.356	799.000, 0.354
800.000, 0.337	800.000, 0.392	800.000, 0.415	800.000, 0.352	800.000, 0.357	800.000, 0.355
801.000, 0.337	801.000, 0.393	801.000, 0.416	801.000, 0.352	801.000, 0.358	801.000, 0.355
802.000, 0.338	802.000, 0.393	802.000, 0.416	802.000, 0.352	802.000, 0.358	802.000, 0.355
803.000, 0.339	803.000, 0.394	803.000, 0.417	803.000, 0.352	803.000, 0.358	803.000, 0.356
804.000, 0.340	804.000, 0.396	804.000, 0.418	804.000, 0.353	804.000, 0.359	804.000, 0.357
805.000, 0.341	805.000, 0.398	805.000, 0.420	805.000, 0.355	805.000, 0.360	805.000, 0.358
806.000, 0.342	806.000, 0.399	806.000, 0.422	806.000, 0.356	806.000, 0.361	806.000, 0.359
807.000, 0.342	807.000, 0.399	807.000, 0.422	807.000, 0.356	807.000, 0.361	807.000, 0.359
808.000, 0.342	808.000, 0.400	808.000, 0.422	808.000, 0.356	808.000, 0.361	808.000, 0.360
809.000, 0.344	809.000, 0.401	809.000, 0.424	809.000, 0.356	809.000, 0.362	809.000, 0.360
810.000, 0.345	810.000, 0.403	810.000, 0.426	810.000, 0.357	810.000, 0.363	810.000, 0.361
811.000, 0.346	811.000, 0.404	811.000, 0.427	811.000, 0.358	811.000, 0.363	811.000, 0.362
812.000, 0.347	812.000, 0.405	812.000, 0.428	812.000, 0.358	812.000, 0.363	812.000, 0.362
813.000, 0.347	813.000, 0.405	813.000, 0.429	813.000, 0.357	813.000, 0.364	813.000, 0.362
814.000, 0.348	814.000, 0.406	814.000, 0.430	814.000, 0.357	814.000, 0.365	814.000, 0.362
815.000, 0.349	815.000, 0.408	815.000, 0.431	815.000, 0.358	815.000, 0.365	815.000, 0.362
816.000, 0.350	816.000, 0.409	816.000, 0.431	816.000, 0.359	816.000, 0.365	816.000, 0.363
817.000, 0.351	817.000, 0.410	817.000, 0.433	817.000, 0.360	817.000, 0.367	817.000, 0.365
818.000, 0.352	818.000, 0.411	818.000, 0.434	818.000, 0.361	818.000, 0.368	818.000, 0.366
819.000, 0.352	819.000, 0.411	819.000, 0.435	819.000, 0.361	819.000, 0.368	819.000, 0.366
820.000, 0.353	820.000, 0.413	820.000, 0.436	820.000, 0.362	820.000, 0.368	820.000, 0.368
821.000, 0.354	821.000, 0.413	821.000, 0.437	821.000, 0.362	821.000, 0.369	821.000, 0.368
822.000, 0.355	822.000, 0.412	822.000, 0.437	822.000, 0.362	822.000, 0.370	822.000, 0.367
823.000, 0.356	823.000, 0.414	823.000, 0.439	823.000, 0.363	823.000, 0.371	823.000, 0.368
824.000, 0.357	824.000, 0.417	824.000, 0.441	824.000, 0.365	824.000, 0.371	824.000, 0.370
825.000, 0.358	825.000, 0.418	825.000, 0.442	825.000, 0.365	825.000, 0.372	825.000, 0.371
826.000, 0.358	826.000, 0.419	826.000, 0.443	826.000, 0.365	826.000, 0.373	826.000, 0.370
827.000, 0.359	827.000, 0.419	827.000, 0.443	827.000, 0.365	827.000, 0.373	827.000, 0.370
828.000, 0.360	828.000, 0.421	828.000, 0.445	828.000, 0.366	828.000, 0.373	828.000, 0.372
829.000, 0.361	829.000, 0.422	829.000, 0.446	829.000, 0.367	829.000, 0.374	829.000, 0.372
830.000, 0.361	830.000, 0.422	830.000, 0.445	830.000, 0.366	830.000, 0.374	830.000, 0.371
831.000, 0.362	831.000, 0.423	831.000, 0.446	831.000, 0.367	831.000, 0.375	831.000, 0.372
832.000, 0.363	832.000, 0.424	832.000, 0.448	832.000, 0.368	832.000, 0.376	832.000, 0.374
833.000, 0.364	833.000, 0.426	833.000, 0.450	833.000, 0.370	833.000, 0.377	833.000, 0.375
834.000, 0.365	834.000, 0.427	834.000, 0.451	834.000, 0.371	834.000, 0.378	834.000, 0.376
835.000, 0.366	835.000, 0.428	835.000, 0.452	835.000, 0.371	835.000, 0.379	835.000, 0.377
836.000, 0.367	836.000, 0.428	836.000, 0.453	836.000, 0.371	836.000, 0.379	836.000, 0.377
837.000, 0.368	837.000, 0.430	837.000, 0.455	837.000, 0.372	837.000, 0.380	837.000, 0.378
838.000, 0.369	838.000, 0.432	838.000, 0.456	838.000, 0.374	838.000, 0.382	838.000, 0.380
839.000, 0.370	839.000, 0.432	839.000, 0.457	839.000, 0.374	839.000, 0.382	839.000, 0.380
840.000, 0.371	840.000, 0.432	840.000, 0.457	840.000, 0.373	840.000, 0.382	840.000, 0.380
